NU_REQUISICAO;ANO_REQUISICAO;DATA_COLETA;IDENT_AMOSTRA;PERC_GORDURA;PROTEINA;PERC_LACTOSE;PERC_SOLIDOSTOTAL;CCS_1000;CBT;DATA_ANALISE;ROTA_LINHA;UNIDADE_CLIENTE
0899;2016;04/02/2016;170;3,96;3,34;4,46;12,77;695;40;04/02/2016;1;
0899;2016;04/02/2016;400;4,25;3,24;4,40;12,91;91;8;04/02/2016;1;
0899;2016;04/02/2016;410;3,79;2,79;4,18;11,73;927;772;04/02/2016;1;
0899;2016;04/02/2016;405;4,13;3,17;4,15;12,48;1509;180;04/02/2016;1;
0899;2016;04/02/2016;155;3,52;3,17;4,48;12,14;500;26;04/02/2016;1;
0899;2016;04/02/2016;165;3,24;2,80;4,33;11,31;276;11;04/02/2016;1;
0899;2016;04/02/2016;161;3,96;2,92;4,32;12,17;306;21;04/02/2016;1;
0899;2016;04/02/2016;160;4,18;3,25;4,22;12,64;933;100;04/02/2016;1;
0899;2016;04/02/2016;425;3,77;3,04;4,15;11,96;652;131;04/02/2016;1;
0899;2016;04/02/2016;339;3,98;3,12;4,45;12,56;1034;309;04/02/2016;1;
0899;2016;04/02/2016;355;3,43;3,04;4,33;11,77;986;51;04/02/2016;1;
0899;2016;04/02/2016;415;3,50;2,85;4,34;11,65;820;153;04/02/2016;1;
0899;2016;04/02/2016;390;3,02;3,24;4,41;11,67;1212;54;04/02/2016;1;
0899;2016;04/02/2016;385;3,47;3,05;4,29;11,79;265;240;04/02/2016;1;
0899;2016;04/02/2016;397;3,18;3,14;4,36;11,66;598;79;04/02/2016;1;
0899;2016;04/02/2016;396;3,84;3,20;4,18;12,28;1549;366;04/02/2016;1;
0899;2016;04/02/2016;395;3,42;2,98;4,38;11,74;1850;221;04/02/2016;1;
0899;2016;04/02/2016;360;3,34;2,74;4,13;11,17;605;124;04/02/2016;1;
0899;2016;04/02/2016;365;3,03;2,96;4,53;11,47;282;309;04/02/2016;1;
0899;2016;04/02/2016;370;3,37;2,93;4,31;11,62;773;6704;04/02/2016;1;
0899;2016;04/02/2016;375;3,40;2,91;4,26;11,52;1083;1120;04/02/2016;1;
0899;2016;04/02/2016;381;4,42;3,80;4,39;13,71;258;1350;04/02/2016;1;
0899;2016;04/02/2016;137;4,16;3,20;4,22;12,66;1066;591;04/02/2016;1;
0899;2016;04/02/2016;147;4,28;3,23;4,42;12,99;513;174;04/02/2016;1;
0899;2016;04/02/2016;148;3,78;3,29;4,38;12,43;510;2434;04/02/2016;1;
0899;2016;04/02/2016;135;4,23;3,11;4,51;12,85;150;186;04/02/2016;1;
0899;2016;04/02/2016;139;4,14;3,06;4,39;12,60;430;1375;04/02/2016;1;
0899;2016;04/02/2016;134;3,60;2,86;4,43;11,86;722;206;04/02/2016;1;
0899;2016;04/02/2016;136;3,62;2,83;3,94;11,37;434;455;04/02/2016;1;
0899;2016;04/02/2016;140;3,59;3,16;4,41;12,16;543;438;04/02/2016;1;
0899;2016;04/02/2016;146;4,27;3,23;4,42;12,96;517;152;04/02/2016;1;
0899;2016;04/02/2016;47;4,10;3,15;4,25;12,53;294;613;04/02/2016;1;
0899;2016;04/02/2016;144;4,08;3,10;4,55;12,71;491;209;04/02/2016;1;
0899;2016;04/02/2016;305;4,20;3,27;4,62;13,09;169;66;04/02/2016;1;
0899;2016;04/02/2016;274;4,37;3,31;4,35;13,07;474;83;04/02/2016;1;
0899;2016;04/02/2016;275;3,85;3,02;4,44;12,29;503;573;04/02/2016;1;
0899;2016;04/02/2016;265;3,85;3,08;4,31;12,25;603;68;04/02/2016;1;
0899;2016;04/02/2016;465;4,41;3,26;4,20;12,86;1265;217;04/02/2016;1;
0899;2016;04/02/2016;280;3,29;2,83;4,46;11,53;347;19;04/02/2016;1;
0899;2016;04/02/2016;308;4,18;3,26;4,46;12,96;352;108;04/02/2016;1;
0899;2016;04/02/2016;195;3,35;2,91;4,48;11,68;445;111;04/02/2016;1;
0899;2016;04/02/2016;255;3,86;3,27;4,43;12,58;94;245;04/02/2016;1;
0899;2016;04/02/2016;467;3,80;3,31;4,41;12,52;823;72;04/02/2016;1;
0899;2016;04/02/2016;277;3,61;3,42;4,33;12,37;818;424;04/02/2016;1;
0899;2016;04/02/2016;271;3,76;3,10;4,37;12,23;732;140;04/02/2016;1;
0899;2016;04/02/2016;480;2,41;3,38;4,53;11,27;103;50;04/02/2016;1;
0899;2016;04/02/2016;490;3,61;3,32;4,06;12,05;877;2249;04/02/2016;1;
0899;2016;04/02/2016;485;3,82;3,24;4,35;12,38;933;216;04/02/2016;1;
0899;2016;04/02/2016;260;4,21;3,41;4,31;12,98;1389;788;04/02/2016;1;
0899;2016;04/02/2016;466;4,43;3,28;4,48;13,22;239;31;04/02/2016;1;
0899;2016;04/02/2016;193;4,34;3,43;4,08;12,88;2756;2852;04/02/2016;1;
0899;2016;04/02/2016;1;2,81;2,77;3,89;10,41;2393;1962;04/02/2016;1;
0899;2016;04/02/2016;266;3,87;3,20;4,33;12,41;388;36;04/02/2016;1;
0899;2016;04/02/2016;270;5,11;3,40;3,84;13,47;1199;702;04/02/2016;1;
0899;2016;04/02/2016;450;3,79;2,91;4,31;12,00;399;451;04/02/2016;1;
0899;2016;04/02/2016;454;3,85;3,06;4,00;11,94;1621;5727;04/02/2016;1;
0899;2016;04/02/2016;475;0,78;3,31;4,57;9,57;6;1719;04/02/2016;1;
0899;2016;04/02/2016;426;3,37;2,79;4,37;11,47;165;88;04/02/2016;1;
0899;2016;04/02/2016;45;4,19;2,98;4,01;12,26;809;1441;04/02/2016;1;
0899;2016;04/02/2016;41;4,05;3,30;4,43;12,78;607;;04/02/2016;1;
0899;2016;04/02/2016;65;4,25;3,19;4,24;12,70;828;1123;04/02/2016;1;
0899;2016;04/02/2016;85;3,78;3,19;4,46;12,45;360;211;04/02/2016;1;
0899;2016;04/02/2016;35;3,50;2,97;4,44;11,90;898;57;04/02/2016;1;
0899;2016;04/02/2016;435;3,28;2,93;4,53;11,68;337;857;04/02/2016;1;
0899;2016;04/02/2016;470;3,55;3,13;4,13;11,82;1193;694;04/02/2016;1;
0899;2016;04/02/2016;42;4,13;3,12;4,28;12,55;177;49;04/02/2016;1;
0899;2016;04/02/2016;175;4,42;3,14;3,93;12,53;5660;3565;04/02/2016;1;
0899;2016;04/02/2016;335;3,53;2,75;4,19;11,42;539;3744;04/02/2016;1;
0899;2016;04/02/2016;80;3,67;3,28;4,22;12,19;1118;469;04/02/2016;1;
0899;2016;04/02/2016;76;3,60;3,12;4,47;12,19;584;76;04/02/2016;1;
0899;2016;04/02/2016;25;4,09;3,48;4,35;12,94;729;1176;04/02/2016;1;
0899;2016;04/02/2016;24;3,77;2,92;4,39;12,08;451;472;04/02/2016;1;
0899;2016;04/02/2016;20;4,87;3,58;4,32;13,82;1207;1064;04/02/2016;1;
0899;2016;04/02/2016;86;3,49;2,93;4,40;11,79;973;116;04/02/2016;1;
0899;2016;04/02/2016;68;3,53;3,01;4,53;12,04;441;36;04/02/2016;1;
0899;2016;04/02/2016;30;3,27;2,87;4,35;11,47;549;31;04/02/2016;1;
0899;2016;04/02/2016;23;5,52;3,79;4,45;14,86;639;615;04/02/2016;1;
0899;2016;04/02/2016;5;3,76;3,13;4,28;12,18;852;725;04/02/2016;1;
0899;2016;04/02/2016;176;3,70;3,22;4,18;12,15;874;228;04/02/2016;1;
0899;2016;04/02/2016;440;3,92;3,26;4,27;12,46;686;178;04/02/2016;1;
0899;2016;04/02/2016;332;3,49;2,98;4,39;11,92;450;501;04/02/2016;1;
0899;2016;04/02/2016;445;3,54;3,03;4,31;11,86;1594;204;04/02/2016;1;
0899;2016;04/02/2016;320;4,01;3,16;4,26;12,45;1856;235;04/02/2016;1;
0899;2016;04/02/2016;241;4,51;3,18;4,20;12,93;996;1890;04/02/2016;1;
0899;2016;04/02/2016;240;4,10;3,29;4,36;12,78;804;235;04/02/2016;1;
0899;2016;04/02/2016;331;3,13;3,11;4,27;11,48;2015;1031;04/02/2016;1;
0899;2016;04/02/2016;131;3,64;3,28;4,31;12,22;1185;137;04/02/2016;1;
0899;2016;04/02/2016;95;3,43;2,96;4,54;11,90;1265;224;04/02/2016;1;
0899;2016;04/02/2016;96;4,22;3,21;4,46;12,90;660;70;04/02/2016;1;
0899;2016;04/02/2016;51;3,68;3,07;4,29;12,02;1782;335;04/02/2016;1;
0899;2016;04/02/2016;50;3,65;3,01;4,36;12,01;398;97;04/02/2016;1;
0899;2016;04/02/2016;149;3,85;3,10;4,46;12,39;572;27;04/02/2016;1;
0899;2016;04/02/2016;44;3,96;3,03;4,28;12,32;605;738;04/02/2016;1;
0899;2016;04/02/2016;62;4,19;2,98;4,48;12,66;515;1341;04/02/2016;1;
0899;2016;04/02/2016;88;4,01;3,35;4,55;12,92;992;66;04/02/2016;1;
0899;2016;04/02/2016;60;3,65;3,09;4,36;12,07;251;11;04/02/2016;1;
0899;2016;04/02/2016;61;4,40;3,42;4,46;13,33;642;114;04/02/2016;1;
0899;2016;04/02/2016;55;3,54;3,08;4,40;12,00;853;276;04/02/2016;1;
0899;2016;04/02/2016;123;3,70;3,18;4,28;12,17;1932;763;04/02/2016;1;
0899;2016;04/02/2016;46;4,01;3,10;4,20;12,33;1672;585;04/02/2016;1;
0899;2016;04/02/2016;87;3,93;3,26;4,41;12,62;407;143;04/02/2016;1;
0899;2016;04/02/2016;117;3,62;3,19;4,36;12,16;640;45;04/02/2016;1;
0899;2016;04/02/2016;89;3,65;3,24;4,32;12,22;1127;2247;04/02/2016;1;
0899;2016;04/02/2016;90;3,73;3,10;4,20;12,03;2050;1090;04/02/2016;1;
0899;2016;04/02/2016;92;3,10;2,97;4,59;11,60;664;434;04/02/2016;1;
0899;2016;04/02/2016;132;4,05;3,35;4,40;12,81;753;134;04/02/2016;1;
